,Year,Player,Pos,G,MP,PER,Team,Notes,index,Height,Weight,Age,Draft_year,Prev_EFF,After_EFF
249,2016,Terrence Jones,PF,50,1044,13.5,Rockets,placed on IL (out for season),9,205.74,114.305184,24.0,2012,9.2,0.5
57,2011,Terrence Williams,SG,21,290,6.9,Rockets,placed on IL with abdominal injury (out for season),4,198.12,99.79024,24.0,2009,4.4,5.199999999999999
214,2015,Thabo Sefolosha,SF,52,976,13.8,Hawks,"fractured fibula, ligament damage in leg (out for season)",8,200.66,100.697424,31.0,2006,8.700000000000003,10.499999999999998
219,2015,Travis Wear,SF,51,672,8.5,Knicks,sore lower back (out for season),8,208.28,102.0582,24.0,Undrafted,4.000000000000001,4.4
13,2011,Trevor Booker,PF,65,1063,15.3,Wizards,placed on IL with sore right foot (out for season),4,203.2,108.86208,23.0,2010,7.699999999999999,8.500000000000002
238,2016,Tyreke Evans,SG,25,765,17.9,Pelicans,right knee injury (out for season),9,198.12,99.79024,26.0,2009,17.800000000000004,19.4
233,2016,Tyson Chandler,C,66,1618,14.7,Suns,concussion (out for season),9,215.9,108.86208,33.0,2001,13.699999999999998,8.15
0,2010,Udonis Haslem,PF,78,2177,14.6,Heat,placed on IL with torn ligament in left foot (out for season),3,203.2,106.59412,30.0,Undrafted,3.1999999999999997,6.3999999999999995
262,2016,Victor Oladipo,SG,72,2379,16.7,Magic,placed on IL with concussion (out for season),9,193.04,95.25432,24.0,2013,16.799999999999997,22.5
65,2012,Wilson Chandler,SF,8,215,9.0,Nuggets,placed on IL with groin injury (out for season),5,203.2,102.0582,25.0,2007,9.700000000000003,12.4
27,2011,Xavier Henry,SG,38,527,7.0,Grizzlies,placed on IL with sprained right knee (out for season),4,198.12,99.79024,20.0,2010,2.8999999999999995,3.299999999999999
288,2017,Zach LaVine,SG,47,1749,14.6,Timberwolves,torn ACL in left knee (out for season),10,195.58,83.91452,22.0,2014,15.899999999999995,20.299999999999997
90,2012,Zaza Pachulia,C,58,1640,14.0,Hawks,placed on IL with sprained left ankle (out for season),5,210.82,124.7378,28.0,2003,6.499999999999999,11.800000000000002
